iter	Logloss
0	0.5448631101
1	0.4715979684
2	0.4144083078
3	0.375285866
4	0.3478598906
5	0.3270098228
6	0.3112538816
7	0.2951231614
8	0.2850860245
9	0.2764976493
10	0.2678922351
11	0.2626466479
12	0.2565802919
13	0.2493316804
14	0.2392502743
15	0.2338767976
16	0.2298746818
17	0.2251143443
18	0.2192863535
19	0.2168522887
20	0.2078532775
21	0.2029349846
22	0.1991974591
23	0.195318798
24	0.1925397325
25	0.1855695349
26	0.1818534399
27	0.1789670497
28	0.175540605
29	0.1735759735
30	0.1697477323
31	0.1661900288
32	0.1632140809
33	0.1613367209
34	0.1588064145
35	0.155357398
36	0.153049804
37	0.1491137083
38	0.1464356623
39	0.1442265567
40	0.1428335544
41	0.1417163276
42	0.1403744781
43	0.1391112631
44	0.1363645968
45	0.1340784502
46	0.1320735779
47	0.1311390812
48	0.1293618653
49	0.1277007422
50	0.1255809837
51	0.1242425858
52	0.1227639322
53	0.1221180558
54	0.1203440946
55	0.1190640936
56	0.1180477585
57	0.1164756764
58	0.1149937771
59	0.1141120653
60	0.1129674655
61	0.111830248
62	0.1113049029
63	0.1088786854
64	0.1067994424
65	0.1062288456
66	0.1046312705
67	0.1038783657
68	0.1026320889
69	0.1014696856
70	0.09979781857
71	0.09861236152
72	0.09719610862
73	0.09579107702
74	0.09476173212
75	0.09332400616
76	0.09244750265
77	0.09065875396
78	0.08927860904
79	0.08793984254
80	0.08652125874
81	0.08514730093
82	0.08439246599
83	0.08367254021
84	0.08247991659
85	0.08210441217
86	0.08158188688
87	0.0807238749
88	0.07972550794
89	0.07876578776
90	0.0781976543
91	0.07712657876
92	0.07626945983
93	0.07565635962
94	0.07514228395
95	0.07448080065
96	0.07403226697
97	0.07333937343
98	0.07245876708
99	0.07201771195
100	0.07108603111
101	0.07027049027
102	0.06977892708
103	0.06929557391
104	0.06880633874
105	0.06819487971
106	0.06753601597
107	0.06669114262
108	0.06615012814
109	0.06570367865
110	0.06524861994
111	0.06446442065
112	0.06420471922
113	0.06316016022
114	0.06279129923
115	0.0622521703
116	0.06137122062
117	0.06062757757
118	0.06026666698
119	0.06002971419
120	0.05930268847
121	0.05896770768
122	0.05849926244
123	0.05806907418
124	0.05765506915
125	0.05715548071
126	0.05688059955
127	0.05662026774
128	0.05619530226
129	0.0552837995
130	0.05462359091
131	0.05430581325
132	0.05397847163
133	0.05354905121
134	0.05324352808
135	0.05298389037
136	0.05247573662
137	0.05198476844
138	0.05161354307
139	0.05124386185
140	0.05093651375
141	0.05061253469
142	0.04988470998
143	0.04946380532
144	0.0487832269
145	0.04819040366
146	0.04801204152
147	0.04783428195
148	0.04749987237
149	0.04717534398
