iter	Passed	Remaining
0	55	8211
1	101	7492
2	147	7231
3	193	7051
4	242	7033
5	292	7013
6	342	6996
7	388	6890
8	432	6781
9	480	6721
10	531	6715
11	579	6663
12	627	6611
13	675	6559
14	731	6585
15	780	6537
16	826	6467
17	871	6389
18	921	6353
19	965	6277
20	1017	6248
21	1067	6213
22	1118	6176
23	1173	6161
24	1224	6123
25	1276	6089
26	1328	6053
27	1380	6014
28	1429	5965
29	1481	5925
30	1531	5877
31	1575	5809
32	1621	5749
33	1667	5689
34	1715	5635
35	1764	5588
36	1813	5539
37	1865	5497
38	1911	5441
39	1966	5408
40	2016	5360
41	2064	5308
42	2111	5255
43	2159	5203
44	2214	5167
45	2263	5116
46	2309	5061
47	2351	4996
48	2406	4959
49	2451	4902
50	2497	4849
51	2541	4789
52	2585	4731
53	2632	4680
54	2684	4636
55	2739	4598
56	2788	4548
57	2843	4511
58	2894	4464
59	2951	4427
60	3001	4379
61	3049	4327
62	3097	4277
63	3151	4235
64	3197	4181
65	3247	4133
66	3294	4081
67	3344	4033
68	3391	3981
69	3440	3931
70	3489	3882
71	3535	3830
72	3587	3784
73	3640	3739
74	3689	3689
75	3736	3638
76	3784	3588
77	3836	3541
78	3886	3492
79	3934	3443
80	4008	3414
81	4064	3370
82	4115	3321
83	4166	3273
84	4218	3226
85	4275	3182
86	4327	3133
87	4382	3087
88	4430	3036
89	4489	2993
90	4543	2945
91	4592	2895
92	4638	2843
93	4685	2791
94	4733	2740
95	4780	2688
96	4826	2637
97	4877	2588
98	4930	2540
99	4984	2492
100	5050	2450
101	5104	2402
102	5155	2352
103	5204	2301
104	5252	2251
105	5302	2201
106	5347	2149
107	5398	2099
108	5447	2048
109	5496	1998
110	5541	1947
111	5594	1898
112	5642	1847
113	5697	1799
114	5744	1748
115	5792	1697
116	5839	1646
117	5890	1597
118	5939	1547
119	5987	1496
120	6036	1446
121	6084	1396
122	6127	1345
123	6178	1295
124	6228	1245
125	6275	1195
126	6329	1146
127	6373	1095
128	6424	1045
129	6471	995
130	6522	945
131	6572	896
132	6620	846
133	6667	796
134	6714	746
135	6760	695
136	6813	646
137	6862	596
138	6908	546
139	6957	496
140	7000	446
141	7050	397
142	7102	347
143	7152	298
144	7199	248
145	7250	198
146	7298	148
147	7343	99
148	7391	49
149	7442	0
