Vehicle ID,Trip start,Trip end,Trip duration (min),Trip distance (km),Idle time (min),Stop-start count,Avg speed,Avg engine load,Driving pattern
VEH-001,2025-12-01T00:00:00+00:00,2025-12-01T08:55:00+00:00,535,754.7,10,2,84.6,58.8,Highway Cruise
VEH-001,2025-12-01T13:45:00+00:00,2025-12-01T20:20:00+00:00,395,573.6,5,1,87.1,60.6,Highway Cruise
VEH-001,2025-12-01T23:25:00+00:00,2025-12-02T01:05:00+00:00,100,53.7,0,0,32.2,39.1,City Delivery
VEH-001,2025-12-02T06:35:00+00:00,2025-12-02T13:35:00+00:00,420,610.8,0,0,87.3,60.0,Highway Cruise
VEH-001,2025-12-02T20:00:00+00:00,2025-12-03T00:45:00+00:00,285,125.7,5,1,26.5,35.7,City Delivery
VEH-001,2025-12-03T10:10:00+00:00,2025-12-03T15:50:00+00:00,340,487.3,10,2,86.0,58.7,Highway Cruise
VEH-001,2025-12-03T18:05:00+00:00,2025-12-04T01:50:00+00:00,465,657.7,10,2,84.9,58.2,Highway Cruise
VEH-001,2025-12-04T06:40:00+00:00,2025-12-04T09:35:00+00:00,175,80.7,0,0,27.7,37.1,City Delivery
VEH-001,2025-12-04T16:20:00+00:00,2025-12-04T20:50:00+00:00,270,373.1,10,2,82.9,56.7,Highway Cruise
VEH-001,2025-12-05T02:30:00+00:00,2025-12-05T13:35:00+00:00,665,971.8,0,0,87.7,59.4,Highway Cruise
VEH-001,2025-12-05T18:15:00+00:00,2025-12-06T05:10:00+00:00,655,941.6,15,3,86.3,59.3,Highway Cruise
VEH-001,2025-12-06T14:45:00+00:00,2025-12-07T05:50:00+00:00,905,932.2,20,4,61.8,73.8,Heavy Haul
VEH-001,2025-12-07T11:35:00+00:00,2025-12-07T15:10:00+00:00,215,304.2,5,1,84.9,58.4,Highway Cruise
VEH-001,2025-12-08T01:05:00+00:00,2025-12-08T03:20:00+00:00,135,57.2,10,2,25.4,35.3,City Delivery
VEH-001,2025-12-08T05:20:00+00:00,2025-12-08T07:30:00+00:00,130,62.4,5,1,28.8,36.9,City Delivery
VEH-001,2025-12-08T14:20:00+00:00,2025-12-08T20:50:00+00:00,390,393.0,15,3,60.5,73.3,Heavy Haul
VEH-001,2025-12-08T23:05:00+00:00,2025-12-09T02:05:00+00:00,180,265.9,0,0,88.6,61.6,Highway Cruise
VEH-001,2025-12-09T07:35:00+00:00,2025-12-09T16:55:00+00:00,560,801.0,10,2,85.8,59.3,Highway Cruise
VEH-001,2025-12-10T02:35:00+00:00,2025-12-10T07:05:00+00:00,270,257.6,25,5,57.2,69.5,Heavy Haul
VEH-001,2025-12-10T09:45:00+00:00,2025-12-10T13:45:00+00:00,240,101.9,5,1,25.5,34.2,City Delivery
VEH-001,2025-12-10T22:55:00+00:00,2025-12-11T01:55:00+00:00,180,249.1,10,2,83.0,57.3,Highway Cruise
VEH-001,2025-12-11T09:55:00+00:00,2025-12-11T17:35:00+00:00,460,657.2,15,3,85.7,59.3,Highway Cruise
VEH-001,2025-12-12T01:45:00+00:00,2025-12-12T07:30:00+00:00,345,357.8,0,0,62.2,75.3,Heavy Haul
VEH-001,2025-12-12T14:40:00+00:00,2025-12-12T20:05:00+00:00,325,338.3,0,0,62.5,74.9,Heavy Haul
VEH-001,2025-12-13T00:50:00+00:00,2025-12-13T03:50:00+00:00,180,254.1,5,1,84.7,58.2,Highway Cruise
VEH-001,2025-12-13T13:50:00+00:00,2025-12-13T19:50:00+00:00,360,497.9,15,3,83.0,57.6,Highway Cruise
VEH-001,2025-12-13T21:40:00+00:00,2025-12-14T02:10:00+00:00,270,391.8,5,1,87.1,59.0,Highway Cruise
VEH-001,2025-12-14T08:45:00+00:00,2025-12-14T10:55:00+00:00,130,55.6,0,0,25.6,35.0,City Delivery
VEH-001,2025-12-14T18:40:00+00:00,2025-12-15T06:30:00+00:00,710,704.5,30,6,59.5,72.0,Heavy Haul
VEH-001,2025-12-15T13:35:00+00:00,2025-12-16T00:00:00+00:00,625,624.0,25,5,59.9,72.4,Heavy Haul
VEH-001,2025-12-16T10:00:00+00:00,2025-12-17T04:25:00+00:00,1105,1145.9,320,1,62.2,46.0,Highway Cruise (Long Haul)
VEH-001,2025-12-17T06:20:00+00:00,2025-12-17T10:30:00+00:00,250,111.2,5,1,26.7,35.6,City Delivery
VEH-001,2025-12-17T12:15:00+00:00,2025-12-17T21:05:00+00:00,530,751.4,15,3,85.1,58.7,Highway Cruise
VEH-001,2025-12-17T23:05:00+00:00,2025-12-18T01:40:00+00:00,155,58.5,5,1,22.6,33.5,City Delivery
VEH-001,2025-12-18T09:50:00+00:00,2025-12-18T13:55:00+00:00,245,342.2,5,1,83.8,58.3,Highway Cruise
VEH-001,2025-12-18T18:40:00+00:00,2025-12-18T23:55:00+00:00,315,462.7,0,0,88.1,59.9,Highway Cruise
VEH-001,2025-12-19T05:35:00+00:00,2025-12-19T12:10:00+00:00,395,562.0,10,2,85.4,58.6,Highway Cruise
VEH-001,2025-12-19T15:30:00+00:00,2025-12-19T22:15:00+00:00,405,557.7,15,3,82.6,56.5,Highway Cruise
VEH-001,2025-12-20T00:10:00+00:00,2025-12-20T06:45:00+00:00,395,560.4,10,2,85.1,59.8,Highway Cruise
VEH-001,2025-12-20T11:00:00+00:00,2025-12-20T16:15:00+00:00,315,136.8,10,2,26.1,35.1,City Delivery
VEH-001,2025-12-20T18:00:00+00:00,2025-12-21T00:45:00+00:00,405,405.4,15,3,60.1,72.7,Heavy Haul
VEH-001,2025-12-21T07:05:00+00:00,2025-12-21T14:55:00+00:00,470,476.4,10,2,60.8,73.4,Heavy Haul
VEH-001,2025-12-21T21:45:00+00:00,2025-12-21T23:45:00+00:00,120,58.7,5,1,29.4,35.4,City Delivery
VEH-001,2025-12-22T01:45:00+00:00,2025-12-22T05:20:00+00:00,215,92.3,0,0,25.8,34.7,City Delivery
VEH-001,2025-12-22T07:50:00+00:00,2025-12-22T15:10:00+00:00,440,645.8,0,0,88.1,60.0,Highway Cruise
VEH-001,2025-12-22T22:10:00+00:00,2025-12-23T01:35:00+00:00,205,96.1,10,2,28.1,36.4,City Delivery
VEH-001,2025-12-23T08:45:00+00:00,2025-12-23T13:35:00+00:00,290,424.4,0,0,87.8,60.4,Highway Cruise
VEH-001,2025-12-23T17:15:00+00:00,2025-12-24T03:25:00+00:00,610,873.8,15,3,86.0,59.0,Highway Cruise
VEH-001,2025-12-24T11:00:00+00:00,2025-12-24T13:00:00+00:00,120,55.5,0,0,27.8,34.7,City Delivery
VEH-001,2025-12-24T22:45:00+00:00,2025-12-25T09:20:00+00:00,635,902.8,10,2,85.3,58.4,Highway Cruise
VEH-001,2025-12-25T18:20:00+00:00,2025-12-25T21:00:00+00:00,160,78.1,0,0,29.3,37.0,City Delivery
VEH-001,2025-12-26T03:35:00+00:00,2025-12-26T10:15:00+00:00,400,574.5,10,2,86.2,59.2,Highway Cruise
VEH-001,2025-12-26T14:15:00+00:00,2025-12-26T23:15:00+00:00,540,776.9,5,1,86.3,59.3,Highway Cruise
VEH-001,2025-12-27T02:00:00+00:00,2025-12-27T11:10:00+00:00,550,796.5,10,2,86.9,59.4,Highway Cruise
VEH-001,2025-12-27T18:55:00+00:00,2025-12-27T20:30:00+00:00,95,46.8,0,0,29.5,36.7,City Delivery
VEH-001,2025-12-28T05:20:00+00:00,2025-12-28T09:15:00+00:00,235,100.7,5,1,25.7,35.9,City Delivery
VEH-001,2025-12-28T10:35:00+00:00,2025-12-28T15:40:00+00:00,305,436.9,0,0,86.0,58.8,Highway Cruise
VEH-001,2025-12-28T18:55:00+00:00,2025-12-28T22:00:00+00:00,185,85.2,0,0,27.6,36.1,City Delivery
VEH-001,2025-12-29T07:05:00+00:00,2025-12-29T16:15:00+00:00,550,776.6,10,2,84.7,57.9,Highway Cruise
VEH-001,2025-12-29T21:15:00+00:00,2025-12-29T23:05:00+00:00,110,59.2,0,0,32.3,37.2,City Delivery
VEH-001,2025-12-30T02:50:00+00:00,2025-12-30T12:10:00+00:00,560,575.5,15,2,61.7,74.2,Heavy Haul
VEH-001,2025-12-30T14:35:00+00:00,2025-12-30T16:50:00+00:00,135,51.6,15,3,22.9,32.5,City Delivery
VEH-002,2025-12-01T00:00:00+00:00,2025-12-01T06:05:00+00:00,365,520.8,10,2,85.6,58.8,Highway Cruise
VEH-002,2025-12-01T08:15:00+00:00,2025-12-01T15:15:00+00:00,420,571.3,25,4,81.6,57.8,Highway Cruise
VEH-002,2025-12-01T19:40:00+00:00,2025-12-02T04:50:00+00:00,550,787.0,15,3,85.9,58.4,Highway Cruise
VEH-002,2025-12-02T10:05:00+00:00,2025-12-02T14:20:00+00:00,255,111.2,5,1,26.2,35.5,City Delivery
VEH-002,2025-12-02T20:20:00+00:00,2025-12-04T00:00:00+00:00,1660,1782.1,440,6,64.4,47.6,Highway Cruise (Long Haul)
VEH-002,2025-12-04T06:50:00+00:00,2025-12-04T11:00:00+00:00,250,371.2,0,0,89.1,61.4,Highway Cruise
VEH-002,2025-12-04T16:45:00+00:00,2025-12-05T02:15:00+00:00,570,814.6,10,2,85.8,58.9,Highway Cruise
VEH-002,2025-12-05T05:25:00+00:00,2025-12-05T06:45:00+00:00,80,31.9,5,1,24.0,34.0,City Delivery
VEH-002,2025-12-05T11:35:00+00:00,2025-12-05T13:25:00+00:00,110,53.4,0,0,29.1,36.2,City Delivery
VEH-002,2025-12-05T20:30:00+00:00,2025-12-06T01:20:00+00:00,290,135.6,10,2,28.1,35.9,City Delivery
VEH-002,2025-12-06T07:40:00+00:00,2025-12-06T09:10:00+00:00,90,40.6,0,0,27.0,36.4,City Delivery
VEH-002,2025-12-06T11:00:00+00:00,2025-12-06T15:00:00+00:00,240,104.6,0,0,26.1,36.4,City Delivery
VEH-002,2025-12-06T19:25:00+00:00,2025-12-06T21:15:00+00:00,110,47.3,0,0,25.8,36.1,City Delivery
VEH-002,2025-12-07T03:55:00+00:00,2025-12-07T09:00:00+00:00,305,140.8,5,1,27.7,36.6,City Delivery
VEH-002,2025-12-07T11:20:00+00:00,2025-12-07T19:20:00+00:00,480,509.6,0,0,63.7,76.1,Heavy Haul
VEH-002,2025-12-07T20:50:00+00:00,2025-12-07T22:25:00+00:00,95,49.3,0,0,31.1,38.4,City Delivery
VEH-002,2025-12-08T04:55:00+00:00,2025-12-08T07:20:00+00:00,145,73.2,5,1,30.3,35.5,City Delivery
VEH-002,2025-12-08T17:00:00+00:00,2025-12-08T21:00:00+00:00,240,101.7,0,0,25.4,35.2,City Delivery
VEH-002,2025-12-09T06:05:00+00:00,2025-12-09T16:15:00+00:00,610,867.2,15,3,85.3,59.3,Highway Cruise
VEH-002,2025-12-10T01:25:00+00:00,2025-12-11T00:50:00+00:00,1405,1533.7,345,4,65.5,48.1,Highway Cruise (Long Haul)
VEH-002,2025-12-11T04:10:00+00:00,2025-12-11T06:30:00+00:00,140,60.6,5,1,26.0,35.4,City Delivery
VEH-002,2025-12-11T11:00:00+00:00,2025-12-11T13:35:00+00:00,155,72.8,0,0,28.2,37.0,City Delivery
VEH-002,2025-12-11T21:55:00+00:00,2025-12-11T23:15:00+00:00,80,31.4,0,0,23.5,35.2,City Delivery
VEH-002,2025-12-12T00:25:00+00:00,2025-12-12T04:55:00+00:00,270,385.3,5,1,85.6,59.5,Highway Cruise
VEH-002,2025-12-12T09:10:00+00:00,2025-12-12T14:00:00+00:00,290,128.7,15,3,26.6,34.4,City Delivery
VEH-002,2025-12-12T21:50:00+00:00,2025-12-12T23:30:00+00:00,100,43.4,5,1,26.0,34.2,City Delivery
VEH-002,2025-12-13T05:10:00+00:00,2025-12-13T07:40:00+00:00,150,71.8,5,1,28.7,35.9,City Delivery
VEH-002,2025-12-13T14:15:00+00:00,2025-12-13T19:15:00+00:00,300,130.9,0,0,26.2,35.7,City Delivery
VEH-002,2025-12-14T02:25:00+00:00,2025-12-14T04:40:00+00:00,135,58.9,0,0,26.2,35.7,City Delivery
VEH-002,2025-12-14T06:45:00+00:00,2025-12-14T09:25:00+00:00,160,228.5,5,1,85.7,58.1,Highway Cruise
VEH-002,2025-12-14T14:50:00+00:00,2025-12-14T23:50:00+00:00,540,549.3,15,3,61.0,73.8,Heavy Haul
VEH-002,2025-12-15T08:05:00+00:00,2025-12-15T13:40:00+00:00,335,487.0,0,0,87.2,59.5,Highway Cruise
VEH-002,2025-12-15T23:25:00+00:00,2025-12-16T09:40:00+00:00,615,903.9,0,0,88.2,59.9,Highway Cruise
VEH-002,2025-12-16T12:20:00+00:00,2025-12-16T14:15:00+00:00,115,53.5,0,0,27.9,36.1,City Delivery
VEH-002,2025-12-16T16:30:00+00:00,2025-12-17T18:35:00+00:00,1565,1710.5,390,5,65.6,48.0,Highway Cruise (Long Haul)
VEH-002,2025-12-17T19:55:00+00:00,2025-12-17T21:20:00+00:00,85,35.8,0,0,25.3,32.7,City Delivery
VEH-002,2025-12-18T02:40:00+00:00,2025-12-18T11:55:00+00:00,555,788.4,20,4,85.2,58.2,Highway Cruise
VEH-002,2025-12-18T14:40:00+00:00,2025-12-18T19:20:00+00:00,280,123.8,10,2,26.5,34.9,City Delivery
VEH-002,2025-12-18T22:50:00+00:00,2025-12-19T03:25:00+00:00,275,119.2,10,2,26.0,36.5,City Delivery
VEH-002,2025-12-19T08:20:00+00:00,2025-12-19T09:45:00+00:00,85,32.6,10,1,23.0,32.2,City Delivery
VEH-002,2025-12-19T13:15:00+00:00,2025-12-19T23:00:00+00:00,585,591.8,20,4,60.7,72.2,Heavy Haul
VEH-002,2025-12-20T03:40:00+00:00,2025-12-20T06:50:00+00:00,190,278.2,0,0,87.9,60.9,Highway Cruise
